2021-04-01 00:44:36 install g++-6:amd64 <none> 6.3.0-18+deb9u1
2021-04-01 00:44:36 status half-installed g++-6:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:37 status unpacked g++-6:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:37 status unpacked g++-6:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:37 install g++:amd64 <none> 4:6.3.0-4
2021-04-01 00:44:37 status half-installed g++:amd64 4:6.3.0-4
2021-04-01 00:44:37 status unpacked g++:amd64 4:6.3.0-4
2021-04-01 00:44:37 status unpacked g++:amd64 4:6.3.0-4
2021-04-01 00:44:37 install golang-1.7-src:amd64 <none> 1.7.4-2+deb9u3
2021-04-01 00:44:37 status half-installed golang-1.7-src:amd64 1.7.4-2+deb9u3
2021-04-01 00:44:39 status unpacked golang-1.7-src:amd64 1.7.4-2+deb9u3
2021-04-01 00:44:39 status unpacked golang-1.7-src:amd64 1.7.4-2+deb9u3
2021-04-01 00:44:39 install golang-1.7-go:amd64 <none> 1.7.4-2+deb9u3
2021-04-01 00:44:39 status half-installed golang-1.7-go:amd64 1.7.4-2+deb9u3
2021-04-01 00:44:41 status unpacked golang-1.7-go:amd64 1.7.4-2+deb9u3
2021-04-01 00:44:41 status unpacked golang-1.7-go:amd64 1.7.4-2+deb9u3
2021-04-01 00:44:41 install golang-src:amd64 <none> 2:1.7~5
2021-04-01 00:44:41 status half-installed golang-src:amd64 2:1.7~5
2021-04-01 00:44:41 status unpacked golang-src:amd64 2:1.7~5
2021-04-01 00:44:41 status unpacked golang-src:amd64 2:1.7~5
2021-04-01 00:44:41 install golang-go:amd64 <none> 2:1.7~5
2021-04-01 00:44:41 status half-installed golang-go:amd64 2:1.7~5
2021-04-01 00:44:41 status unpacked golang-go:amd64 2:1.7~5
2021-04-01 00:44:41 status unpacked golang-go:amd64 2:1.7~5
2021-04-01 00:44:41 install libdpkg-perl:all <none> 1.18.25
2021-04-01 00:44:41 status half-installed libdpkg-perl:all 1.18.25
2021-04-01 00:44:41 status unpacked libdpkg-perl:all 1.18.25
2021-04-01 00:44:41 status unpacked libdpkg-perl:all 1.18.25
2021-04-01 00:44:41 install libfile-fcntllock-perl:amd64 <none> 0.22-3+b2
2021-04-01 00:44:41 status half-installed libfile-fcntllock-perl:amd64 0.22-3+b2
2021-04-01 00:44:41 status unpacked libfile-fcntllock-perl:amd64 0.22-3+b2
2021-04-01 00:44:41 status unpacked libfile-fcntllock-perl:amd64 0.22-3+b2
2021-04-01 00:44:41 install manpages-dev:all <none> 4.10-2
2021-04-01 00:44:41 status half-installed manpages-dev:all 4.10-2
2021-04-01 00:44:42 status unpacked manpages-dev:all 4.10-2
2021-04-01 00:44:42 status unpacked manpages-dev:all 4.10-2
2021-04-01 00:44:42 install pkg-config:amd64 <none> 0.29-4+b1
2021-04-01 00:44:42 status half-installed pkg-config:amd64 0.29-4+b1
2021-04-01 00:44:42 status unpacked pkg-config:amd64 0.29-4+b1
2021-04-01 00:44:42 status unpacked pkg-config:amd64 0.29-4+b1
2021-04-01 00:44:42 startup packages configure
2021-04-01 00:44:42 configure libquadmath0:amd64 6.3.0-18+deb9u1 <none>
2021-04-01 00:44:42 status unpacked libquadmath0:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 status half-configured libquadmath0:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 status installed libquadmath0:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 configure libgomp1:amd64 6.3.0-18+deb9u1 <none>
2021-04-01 00:44:42 status unpacked libgomp1:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 status half-configured libgomp1:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 status installed libgomp1:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 configure libatomic1:amd64 6.3.0-18+deb9u1 <none>
2021-04-01 00:44:42 status unpacked libatomic1:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 status half-configured libatomic1:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 status installed libatomic1:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 configure manpages:all 4.10-2 <none>
2021-04-01 00:44:42 status unpacked manpages:all 4.10-2
2021-04-01 00:44:42 status half-configured manpages:all 4.10-2
2021-04-01 00:44:42 status installed manpages:all 4.10-2
2021-04-01 00:44:42 configure libcc1-0:amd64 6.3.0-18+deb9u1 <none>
2021-04-01 00:44:42 status unpacked libcc1-0:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 status half-configured libcc1-0:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 status installed libcc1-0:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 configure libasan3:amd64 6.3.0-18+deb9u1 <none>
2021-04-01 00:44:42 status unpacked libasan3:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 status half-configured libasan3:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 status installed libasan3:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 configure libcilkrts5:amd64 6.3.0-18+deb9u1 <none>
2021-04-01 00:44:42 status unpacked libcilkrts5:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 status half-configured libcilkrts5:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 status installed libcilkrts5:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 configure libubsan0:amd64 6.3.0-18+deb9u1 <none>
2021-04-01 00:44:42 status unpacked libubsan0:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 status half-configured libubsan0:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 status installed libubsan0:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 configure libtsan0:amd64 6.3.0-18+deb9u1 <none>
2021-04-01 00:44:42 status unpacked libtsan0:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 status half-configured libtsan0:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 status installed libtsan0:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 configure linux-libc-dev:amd64 4.9.258-1 <none>
2021-04-01 00:44:42 status unpacked linux-libc-dev:amd64 4.9.258-1
2021-04-01 00:44:42 status half-configured linux-libc-dev:amd64 4.9.258-1
2021-04-01 00:44:42 status installed linux-libc-dev:amd64 4.9.258-1
2021-04-01 00:44:42 configure libdpkg-perl:all 1.18.25 <none>
2021-04-01 00:44:42 status unpacked libdpkg-perl:all 1.18.25
2021-04-01 00:44:42 status half-configured libdpkg-perl:all 1.18.25
2021-04-01 00:44:42 status installed libdpkg-perl:all 1.18.25
2021-04-01 00:44:42 configure liblsan0:amd64 6.3.0-18+deb9u1 <none>
2021-04-01 00:44:42 status unpacked liblsan0:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 status half-configured liblsan0:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 status installed liblsan0:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 configure libfile-fcntllock-perl:amd64 0.22-3+b2 <none>
2021-04-01 00:44:42 status unpacked libfile-fcntllock-perl:amd64 0.22-3+b2
2021-04-01 00:44:42 status half-configured libfile-fcntllock-perl:amd64 0.22-3+b2
2021-04-01 00:44:42 status installed libfile-fcntllock-perl:amd64 0.22-3+b2
2021-04-01 00:44:42 configure pkg-config:amd64 0.29-4+b1 <none>
2021-04-01 00:44:42 status unpacked pkg-config:amd64 0.29-4+b1
2021-04-01 00:44:42 status unpacked pkg-config:amd64 0.29-4+b1
2021-04-01 00:44:42 status half-configured pkg-config:amd64 0.29-4+b1
2021-04-01 00:44:42 status installed pkg-config:amd64 0.29-4+b1
2021-04-01 00:44:42 configure libmpx2:amd64 6.3.0-18+deb9u1 <none>
2021-04-01 00:44:42 status unpacked libmpx2:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 status half-configured libmpx2:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 status installed libmpx2:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 configure libisl15:amd64 0.18-1 <none>
2021-04-01 00:44:42 status unpacked libisl15:amd64 0.18-1
2021-04-01 00:44:42 status half-configured libisl15:amd64 0.18-1
2021-04-01 00:44:42 status installed libisl15:amd64 0.18-1
2021-04-01 00:44:42 trigproc libc-bin:amd64 2.24-11+deb9u4 <none>
2021-04-01 00:44:42 status half-configured libc-bin:amd64 2.24-11+deb9u4
2021-04-01 00:44:42 status installed libc-bin:amd64 2.24-11+deb9u4
2021-04-01 00:44:42 configure xz-utils:amd64 5.2.2-1.2+b1 <none>
2021-04-01 00:44:42 status unpacked xz-utils:amd64 5.2.2-1.2+b1
2021-04-01 00:44:42 status half-configured xz-utils:amd64 5.2.2-1.2+b1
2021-04-01 00:44:42 status installed xz-utils:amd64 5.2.2-1.2+b1
2021-04-01 00:44:42 configure libmpfr4:amd64 3.1.5-1 <none>
2021-04-01 00:44:42 status triggers-pending libc-bin:amd64 2.24-11+deb9u4
2021-04-01 00:44:42 status unpacked libmpfr4:amd64 3.1.5-1
2021-04-01 00:44:42 status half-configured libmpfr4:amd64 3.1.5-1
2021-04-01 00:44:42 status installed libmpfr4:amd64 3.1.5-1
2021-04-01 00:44:42 configure libmpc3:amd64 1.0.3-1+b2 <none>
2021-04-01 00:44:42 status unpacked libmpc3:amd64 1.0.3-1+b2
2021-04-01 00:44:42 status half-configured libmpc3:amd64 1.0.3-1+b2
2021-04-01 00:44:42 status installed libmpc3:amd64 1.0.3-1+b2
2021-04-01 00:44:42 configure binutils:amd64 2.28-5 <none>
2021-04-01 00:44:42 status unpacked binutils:amd64 2.28-5
2021-04-01 00:44:42 status half-configured binutils:amd64 2.28-5
2021-04-01 00:44:42 status installed binutils:amd64 2.28-5
2021-04-01 00:44:42 configure cpp-6:amd64 6.3.0-18+deb9u1 <none>
2021-04-01 00:44:42 status unpacked cpp-6:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 status half-configured cpp-6:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 status installed cpp-6:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 configure golang-1.7-src:amd64 1.7.4-2+deb9u3 <none>
2021-04-01 00:44:42 status unpacked golang-1.7-src:amd64 1.7.4-2+deb9u3
2021-04-01 00:44:42 status half-configured golang-1.7-src:amd64 1.7.4-2+deb9u3
2021-04-01 00:44:42 status installed golang-1.7-src:amd64 1.7.4-2+deb9u3
2021-04-01 00:44:42 configure libc-dev-bin:amd64 2.24-11+deb9u4 <none>
2021-04-01 00:44:42 status unpacked libc-dev-bin:amd64 2.24-11+deb9u4
2021-04-01 00:44:42 status half-configured libc-dev-bin:amd64 2.24-11+deb9u4
2021-04-01 00:44:42 status installed libc-dev-bin:amd64 2.24-11+deb9u4
2021-04-01 00:44:42 configure manpages-dev:all 4.10-2 <none>
2021-04-01 00:44:42 status unpacked manpages-dev:all 4.10-2
2021-04-01 00:44:42 status half-configured manpages-dev:all 4.10-2
2021-04-01 00:44:42 status installed manpages-dev:all 4.10-2
2021-04-01 00:44:42 configure libc6-dev:amd64 2.24-11+deb9u4 <none>
2021-04-01 00:44:42 status unpacked libc6-dev:amd64 2.24-11+deb9u4
2021-04-01 00:44:42 status half-configured libc6-dev:amd64 2.24-11+deb9u4
2021-04-01 00:44:42 status installed libc6-dev:amd64 2.24-11+deb9u4
2021-04-01 00:44:42 configure libitm1:amd64 6.3.0-18+deb9u1 <none>
2021-04-01 00:44:42 status unpacked libitm1:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 status half-configured libitm1:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 status installed libitm1:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 configure cpp:amd64 4:6.3.0-4 <none>
2021-04-01 00:44:42 status unpacked cpp:amd64 4:6.3.0-4
2021-04-01 00:44:42 status half-configured cpp:amd64 4:6.3.0-4
2021-04-01 00:44:42 status installed cpp:amd64 4:6.3.0-4
2021-04-01 00:44:42 configure libgcc-6-dev:amd64 6.3.0-18+deb9u1 <none>
2021-04-01 00:44:42 status unpacked libgcc-6-dev:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 status half-configured libgcc-6-dev:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 status installed libgcc-6-dev:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 configure libstdc++-6-dev:amd64 6.3.0-18+deb9u1 <none>
2021-04-01 00:44:42 status unpacked libstdc++-6-dev:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 status half-configured libstdc++-6-dev:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 status installed libstdc++-6-dev:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 configure golang-src:amd64 2:1.7~5 <none>
2021-04-01 00:44:42 status unpacked golang-src:amd64 2:1.7~5
2021-04-01 00:44:42 status half-configured golang-src:amd64 2:1.7~5
2021-04-01 00:44:42 status installed golang-src:amd64 2:1.7~5
2021-04-01 00:44:42 configure gcc-6:amd64 6.3.0-18+deb9u1 <none>
2021-04-01 00:44:42 status unpacked gcc-6:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 status half-configured gcc-6:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 status installed gcc-6:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 configure g++-6:amd64 6.3.0-18+deb9u1 <none>
2021-04-01 00:44:42 status unpacked g++-6:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 status half-configured g++-6:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 status installed g++-6:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 configure golang-1.7-go:amd64 1.7.4-2+deb9u3 <none>
2021-04-01 00:44:42 status unpacked golang-1.7-go:amd64 1.7.4-2+deb9u3
2021-04-01 00:44:42 status half-configured golang-1.7-go:amd64 1.7.4-2+deb9u3
2021-04-01 00:44:42 status installed golang-1.7-go:amd64 1.7.4-2+deb9u3
2021-04-01 00:44:42 configure gcc:amd64 4:6.3.0-4 <none>
2021-04-01 00:44:42 status unpacked gcc:amd64 4:6.3.0-4
2021-04-01 00:44:42 status half-configured gcc:amd64 4:6.3.0-4
2021-04-01 00:44:42 status installed gcc:amd64 4:6.3.0-4
2021-04-01 00:44:42 configure golang-go:amd64 2:1.7~5 <none>
2021-04-01 00:44:42 status unpacked golang-go:amd64 2:1.7~5
2021-04-01 00:44:42 status half-configured golang-go:amd64 2:1.7~5
2021-04-01 00:44:42 status installed golang-go:amd64 2:1.7~5
2021-04-01 00:44:42 configure g++:amd64 4:6.3.0-4 <none>
2021-04-01 00:44:42 status unpacked g++:amd64 4:6.3.0-4
2021-04-01 00:44:42 status half-configured g++:amd64 4:6.3.0-4
2021-04-01 00:44:42 status installed g++:amd64 4:6.3.0-4
2021-04-01 00:44:42 trigproc libc-bin:amd64 2.24-11+deb9u4 <none>
2021-04-01 00:44:42 status half-configured libc-bin:amd64 2.24-11+deb9u4
2021-04-01 00:44:42 status installed libc-bin:amd64 2.24-11+deb9u4
2021-04-01 00:46:12 startup archives unpack
2021-04-01 00:46:12 install liberror-perl:all <none> 0.17024-1
2021-04-01 00:46:12 status half-installed liberror-perl:all 0.17024-1
2021-04-01 00:46:12 status unpacked liberror-perl:all 0.17024-1
2021-04-01 00:46:12 status unpacked liberror-perl:all 0.17024-1
2021-04-01 00:46:12 install git-man:all <none> 1:2.11.0-3+deb9u7
2021-04-01 00:46:12 status half-installed git-man:all 1:2.11.0-3+deb9u7
2021-04-01 00:46:12 status unpacked git-man:all 1:2.11.0-3+deb9u7
2021-04-01 00:46:12 status unpacked git-man:all 1:2.11.0-3+deb9u7
2021-04-01 00:46:12 install git:amd64 <none> 1:2.11.0-3+deb9u7
2021-04-01 00:46:12 status half-installed git:amd64 1:2.11.0-3+deb9u7
2021-04-01 00:46:12 status unpacked git:amd64 1:2.11.0-3+deb9u7
2021-04-01 00:46:12 status unpacked git:amd64 1:2.11.0-3+deb9u7
2021-04-01 00:46:13 install patch:amd64 <none> 2.7.5-1+deb9u2
2021-04-01 00:46:13 status half-installed patch:amd64 2.7.5-1+deb9u2
2021-04-01 00:46:13 status unpacked patch:amd64 2.7.5-1+deb9u2
2021-04-01 00:46:13 status unpacked patch:amd64 2.7.5-1+deb9u2
2021-04-01 00:46:13 install rsync:amd64 <none> 3.1.2-1+deb9u2
2021-04-01 00:46:13 status half-installed rsync:amd64 3.1.2-1+deb9u2
2021-04-01 00:46:13 status triggers-pending systemd:amd64 232-25+deb9u12
2021-04-01 00:46:13 status unpacked rsync:amd64 3.1.2-1+deb9u2
2021-04-01 00:46:13 status unpacked rsync:amd64 3.1.2-1+deb9u2
2021-04-01 00:46:13 startup packages configure
2021-04-01 00:46:13 configure git-man:all 1:2.11.0-3+deb9u7 <none>
2021-04-01 00:46:13 status unpacked git-man:all 1:2.11.0-3+deb9u7
2021-04-01 00:46:13 status half-configured git-man:all 1:2.11.0-3+deb9u7
2021-04-01 00:46:13 status installed git-man:all 1:2.11.0-3+deb9u7
2021-04-01 00:46:13 configure liberror-perl:all 0.17024-1 <none>
2021-04-01 00:46:13 status unpacked liberror-perl:all 0.17024-1
2021-04-01 00:46:13 status half-configured liberror-perl:all 0.17024-1
2021-04-01 00:46:13 status installed liberror-perl:all 0.17024-1
2021-04-01 00:46:13 configure rsync:amd64 3.1.2-1+deb9u2 <none>
2021-04-01 00:46:13 status unpacked rsync:amd64 3.1.2-1+deb9u2
2021-04-01 00:46:13 status unpacked rsync:amd64 3.1.2-1+deb9u2
2021-04-01 00:46:13 status unpacked rsync:amd64 3.1.2-1+deb9u2
2021-04-01 00:46:13 status half-configured rsync:amd64 3.1.2-1+deb9u2
2021-04-01 00:46:13 status installed rsync:amd64 3.1.2-1+deb9u2
2021-04-01 00:46:13 configure patch:amd64 2.7.5-1+deb9u2 <none>
